Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
220,-0.598551,0,-0.59855,0.490555046,0.176697452,0.757065647,-0.018092533,-0.004265719,0.021769877
221,0,0.598551,0,0.480792762,0.170840061,0.774149643,-0.018092533,-0.004265719,0.021769877
222,0,-1.795651,0,0.478840367,0.171328236,0.770244648,-0.018092533,-0.004265719,0.021769877
223,0,0,0,0.487626402,0.178161774,0.79025739,-0.018239627,-0.003971532,0.022505346
224,1.197101,0,0,0.484697655,0.177185525,0.773173394,-0.018239627,-0.003971532,0.022505346
225,0.59855,0,0.59855,0.476399796,0.184019164,0.773173394,-0.018239627,-0.003971532,0.022505346
226,-0.59855,-0.598551,-0.59855,0.48860265,0.171328236,0.775613965,-0.018239627,-0.003971532,0.022505346
227,-0.59855,0.598551,1.1971,0.477864118,0.18109052,0.775613965,-0.017798346,-0.004118625,0.021622783
228,0.59855,0,-1.1971,0.477375943,0.175233129,0.782935678,-0.017798346,-0.004118625,0.021622783
229,0,0,0.59855,0.497388685,0.174256881,0.774637717,-0.017798346,-0.004118625,0.021622783
230,0.59855,-0.598551,0,0.489090724,0.168887666,0.769268502,-0.017651252,-0.004265719,0.02265244
231,0,0,-0.59855,0.480792762,0.16839949,0.781471356,-0.017651252,-0.004265719,0.02265244
232,-0.59855,-1.197101,0.59855,0.484697655,0.181578593,0.763899185,-0.017651252,-0.004265719,0.02265244
233,-0.59855,1.197101,0,0.485673904,0.184995413,0.780007034,-0.017651252,-0.004265719,0.02265244
234,0,0.598551,0,0.484697655,0.178161774,0.790745464,-0.017651252,-0.003824438,0.02147569
235,0,0,0,0.487138328,0.181578593,0.785376249,-0.017651252,-0.003824438,0.02147569
236,0,0.59855,0,0.485185831,0.180114271,0.766339755,-0.017651252,-0.003824438,0.02147569
237,-0.598551,0,0,0.491531295,0.178161774,0.776590214,-0.017651252,-0.003824438,0.02147569
238,-0.59855,0.59855,-0.59855,0.485185831,0.16839949,0.772197146,-0.017798346,-0.004118625,0.021181502
239,0,0,0.59855,0.473959225,0.165470846,0.778054536,-0.017798346,-0.004118625,0.021181502
240,0,0,0,0.494460041,0.176209378,0.768780326,-0.017798346,-0.004118625,0.021181502
241,1.197101,0,0,0.47932844,0.171328236,0.781959429,-0.017798346,-0.004118625,0.021181502
242,0.59855,0,-0.59855,0.484209582,0.178161774,0.773173394,-0.017651252,-0.004118625,0.022064065
243,-1.197101,-0.59855,0.59855,0.485185831,0.169863812,0.786840571,-0.017651252,-0.004118625,0.022064065
244,0,-0.59855,-0.59855,0.478840367,0.180602345,0.784888175,-0.017651252,-0.004118625,0.022064065
245,0,-0.598551,-0.598551,0.49201947,0.170351988,0.78098318,-0.018386721,-0.003971532,0.021916971
246,1.197101,0,0.598551,0.489090724,0.170351988,0.773661468,-0.018386721,-0.003971532,0.021916971
247,0,-0.59855,-0.598551,0.485673904,0.173768807,0.761458614,-0.018386721,-0.003971532,0.021916971
248,0.59855,0.59855,-0.59855,0.490555046,0.174744954,0.753648828,-0.018386721,-0.003971532,0.021916971
249,0.598401,1.197101,0,0.485673904,0.174256881,0.776590214,-0.017651252,-0.003824438,0.02147569
250,0,-0.59855,0,0.485185831,0.176697452,0.769756575,-0.017651252,-0.003824438,0.02147569
